titulo,precio,dormitorios,baños,m2,codigo,estacionamientos,fecha
San Olav 6150,$ 645.000,1,1,40 m²,111934266,1,05/04/2026
La Gioconda,$ 1.753.036,4,4,160 m²,112657491,1,30/03/2026
San Carlos de Apoquindo 2201,$ 2.191.295,3,3,127 m²,113875739,2,28/03/2026
Acogedor dpto. Amoblado en las condes a pasos del metro,$ 996.043,1,1,51 m²,89888095,1,02/08/2025
Carol Urzúa / Apoquindo,$ 836.676,1,1,"46,9 m²",114722166,1,06/04/2026
El Trovador,$ 695.000,1,1,50 m²,9283336,1,05/04/2026
Asturias,$ 680.000,1,1,30 m²,114611989,0,05/04/2026
Penthouse duplex en arriendo las condes alto (156368),$ 3.227.179,4,5,195 m²,114609596,2,05/04/2026
Moderno Depa con Excelente Conectividad (156256),$ 836.676,1,1,41 m²,114596983,0,05/04/2026
Parque arauco,$ 750.000,1,1,36 m²,110481492,9,04/04/2026
Camino San Antonio,$ 780.000,1,1,46 m²,114506347,1,04/04/2026
Metro Hernando de Magallanes,$ 717.151,1,1,40 m²,114506328,1,04/04/2026
El bosque norte,$ 950.000,1,1,51 m²,114499535,1,04/04/2026
Avenida Apoquindo,$ 850.000,1,1,60 m²,114471032,1,03/04/2026
Hospital dipreca,$ 1.400.000,3,3,130 m²,114448928,1,03/04/2026
| 132m² | 2Estac. | Áreas Verdes (156012),$ 1.700.000,3,3,132 m²,114437620,2,03/04/2026
Hernando de magallanes / av colon,$ 2.071.769,3,2,"119,66 m²",114433938,1,03/04/2026
"Lo fontecilla, estoril",$ 1.075.726,2,2,68 m²,114432480,1,03/04/2026
Robinson crusoe / fontana rosa /colon,$ 1.600.000,4,3,120 m²,114431615,1,03/04/2026
Departamento en las condes. Excelente ubicación,$ 2.589.712,4,3,127 m²,114429637,0,03/04/2026
Apoquindo / pdte. Sebastian piñera,$ 1.350.000,3,2,100 m²,114428664,1,03/04/2026
"Callao, Las Condes",$ 1.200.000,1,1,43 m²,114424241,1,03/04/2026
"Geronimo de alderete, kennedy, amoblado",$ 1.274.935,2,2,90 m²,9973685,1,02/04/2026
Arriendo. Las condes,$ 790.000,1,1,60 m²,43780262,1,02/04/2026
Francisco Bulnes Correa - San Carlos de Apoquindo,$ 3.506.071,3,4,470 m²,114310659,2,02/04/2026
Carnencita // Apoquindo - Barrio El Golf - Comuna de Las Condes,$ 1.673.352,3,2,165 m²,114304932,0,02/04/2026
"Luxury Apartment for Rent ""Edificio Puertas del Golf""",$ 1.700.046,1,1,62 m²,114240167,1,01/04/2026
Elegante y dpto full amoblado en arriendo,$ 2.200.000,2,2,98 m²,114234738,1,01/04/2026
Apoquindo/ neveria - apoquido/ manquehue / mall apumanque - amoblado,$ 0,1,1,60 m²,114220541,0,01/04/2026
Vende / Camino La Fuente,$ 2.788.920,6,6,499 m²,114217649,5,01/04/2026
Arriendo homestudio amoblado (155682),$ 677.309,1,1,41 m²,114207636,1,01/04/2026
ModernoEsta+Bod+terraza |Conectividad (155696),$ 796.834,1,1,40 m²,114206995,1,01/04/2026
Barrio el golf (72250),$ 1.650.000,3,2,111 m²,107378547,3,01/04/2026
Av Americo vespucio norte,$ 600.000,1,1,33 m²,113685410,1,01/04/2026
Callao - Augusto Leguía,$ 1.195.252,1,1,42 m²,114175857,1,01/04/2026
Manquehue sur con Isabel La Católica,$ 1.035.885,3,3,105 m²,79057086,1,01/04/2026
avenida apoquindo 6797,$ 1.150.000,2,2,88 m²,67515022,1,31/03/2026
Moderno 2 dorm. Cantagallo. Av las condes. Lincoln,$ 1.199.000,2,2,70 m²,105914669,1,31/03/2026
Luz,$ 1.300.000,2,2,100 m²,114109789,1,31/03/2026
Se Arrienda Hermoso Dpto en Metro Manquehue (155524),$ 1.200.000,1,N/A,38 m²,114104564,1,31/03/2026
con 2 terrazas independ| El Golf (155525),$ 1.633.511,3,3,105 m²,114100820,1,31/03/2026
Departamento 3B. Americo Vespucio (155612),$ 1.100.000,3,3,93 m²,114100271,1,31/03/2026
Escuela Militar- Vespucio - MLL,$ 1.952.244,3,3,188 m²,114097134,2,31/03/2026
El Remanso / Vital Apoquindo / Las Condes,$ 2.788.920,3,4,245 m²,80616980,0,31/03/2026
"Exclusivo en san carlos de apoquindo, vista verde, sala",$ 2.191.295,3,3,127 m²,114094597,0,31/03/2026
Burgos esquina,$ 1.832.719,3,3,180 m²,114085487,0,31/03/2026
"Dpto 1 D con estac.Rotonda Atenas,Las Condes (123648)",$ 580.000,1,1,30 m²,96942781,1,31/03/2026
San Pascual // Luis Rodriguez Velasco,$ 750.000,2,1,42 m²,88829862,1,30/03/2026
Se arrienda hermoso dpto amoblado las condes (155272),$ 1.400.000,1,1,44 m²,113923771,1,29/03/2026
Bello Horizonte/ Colon,$ 1.150.000,2,2,"90,6 m²",113923021,1,29/03/2026
