titulo,precio,dormitorios,baños,m2,codigo,estacionamientos,fecha
"Lo Barnechea, Valle del Monasterio",$ 2.390.503,5,5,220 m²,26612163,2,07/03/2026
"Lo Barnechea, El rodeo",$ 1.673.352,3,2,150 m²,114822532,3,07/04/2026
"Lo Barnechea, Avenida San Josemaría Escrivá de Balaguer",$ 560.000,2,1,55 m²,10670006,1,05/04/2026
"Lo Barnechea, Moderno en La Dehesa (156198)",$ 956.201,1,1,52 m²,114523717,1,04/04/2026
"Lo Barnechea, David Ben Gurion",$ 1.195.252,2,2,72 m²,114505801,1,04/04/2026
"Lo Barnechea, Av la Dehesa con Robles",$ 996.043,2,2,85 m²,114428442,1,03/04/2026
"Lo Barnechea, Camino la cumbre",$ 1.300.000,3,2,106 m²,82911919,2,03/04/2026
"Lo Barnechea, Conectividad / Mall Sport (155849)",$ 1.000.000,1,1,39 m²,114422679,1,03/04/2026
"Lo Barnechea, Avenida Monseñor Escriva de Balaguer 14270",$ 400.000,1,1,9 m²,114265662,0,01/04/2026
"Lo Barnechea, Comandante Malbec y Av. La Dehesa",$ 2.390.503,2,3,155 m²,109083204,2,01/04/2026
"Lo Barnechea, Av. La dehesa - mall sport",$ 1.000.000,1,1,49 m²,114175838,1,01/04/2026
"Lo Barnechea, Las Araucarias con El Gabino",$ 1.673.352,3,2,142 m²,34451113,3,30/03/2026
"Lo Barnechea, Departamento arriendo de 3 dorm. En lo barnechea",$ 3.187.338,3,3,226 m²,113847108,2,28/03/2026
"Lo Barnechea, Portal la dehesa",$ 980.000,4,3,99 m²,113836016,0,28/03/2026
"Lo Barnechea, Lo curro",$ 9.960.430,4,6,680 m²,113812721,4,28/03/2026
"Lo Barnechea, Arriendo duplex - en lo barnechea (154800)",$ 2.350.661,3,3,140 m²,113680231,2,27/03/2026
"Lo Barnechea, Vive en el Corazón de Lo Barnechea/ 2dorm 2bñ (148508)",$ 2.000.000,2,2,92 m²,111019385,1,25/03/2026
"Lo Barnechea, Vive en el Corazón de Lo Barnechea/ 2dorm 2bñ (148397)",$ 2.500.000,2,2,92 m²,110928593,1,24/03/2026
"Lo Barnechea, Robles 12000",$ 1.872.561,3,3,127 m²,113359745,2,24/03/2026
"Lo Barnechea, Camino a Farellones / Avda Las condes",$ 2.390.503,3,3,149 m²,113275054,2,23/03/2026
"Lo Barnechea, la espuela 12688",$ 2.231.136,3,4,120 m²,113271331,2,23/03/2026
"Lo Barnechea, Portal de La Dehesa",$ 80,3,4,325 m²,113019078,2,20/03/2026
"Lo Barnechea, refugios del arrayán 17770",$ 550.000,1,1,100 m²,106528911,1,18/03/2026
"Lo Barnechea, Moderno con Excelente Conectividad (153075)",$ 2.390.503,4,3,140 m²,112836448,2,18/03/2026
"Lo Barnechea, Cam la capellania 1996",$ 1.678.133,2,2,108 m²,112815108,2,18/03/2026
"Lo Barnechea, 2/ San José de la Sierra / Av Las Condes",$ 1.200.000,2,2,90 m²,112500162,2,14/03/2026
"Lo Barnechea, La Parva Andre Bossonney (152226)",$ 650.000,4,4,60 m²,112418823,1,13/03/2026
"Lo Barnechea, Los Adobes 1540",$ 856.597,1,1,62 m²,112397469,0,13/03/2026
"Lo Barnechea, Los Adobes 1540",$ 856.597,1,1,62 m²,112397444,0,13/03/2026
"Lo Barnechea, Los Adobes 1930",$ 1.155.410,2,2,85 m²,112397408,0,13/03/2026
"Lo Barnechea, Moderno Departamento Portal La Dehesa (151511)",$ 2.490.108,4,4,180 m²,112301516,2,12/03/2026
"Lo Barnechea, Pastor Fernandez",$ 700.000,1,1,70 m²,112060750,2,10/03/2026
"Lo Barnechea, Arriendo exclusivo 1b. Dentro de condominio. Lo barnechea",$ 2.300.062,5,5,233 m²,112055588,2,10/03/2026
"Lo Barnechea, Av. La Dehesa / El Tranque",$ 1.200.829,2,2,97 m²,110255217,2,04/03/2026
"Lo Barnechea, Monseñor escrivá de balaguer 14848",$ 3.200.000,3,2,100 m²,93900850,1,03/03/2026
"Lo Barnechea, El gabino / Padre Alfredo Arteaga Barros",$ 2.800.000,2,2,140 m²,106423822,0,02/03/2026
"Lo Barnechea, Lo Barnechea, Manquehue Oriente",$ 3.386.546,3,4,192 m²,111003460,3,26/02/2026
"Lo Barnechea, Camino de La Huerta",$ 3.784.963,4,4,310 m²,20375319,4,20/02/2026
"Lo Barnechea, Robles - Avda. La Dehesa",$ 2.589.712,5,4,178 m²,109739677,0,13/02/2026
"Lo Barnechea, Punta de Aguila - Camino de las Ermitas",$ 3.705.280,3,5,323 m²,20947606,4,19/01/2026
"Lo Barnechea, Portal dehesa 2est piscina, bodega gym (94398)",$ 2.310.820,4,3,145 m²,81218720,2,13/01/2026
"Lo Barnechea, refugios del arrayán 17770",$ 550.000,1,1,100 m²,106528977,1,09/01/2026
"Lo Barnechea, Quebrada de huallalolen",$ 498.022,1,N/A,"12,5 m²",100922700,0,18/11/2025
"Lo Barnechea, Golf de Manquehue / Punta de Aguila",$ 3.984.172,3,6,332 m²,92305551,0,27/08/2025
"Lo Barnechea, Camino El Atardecer /Camino La Laguna",$ 3.585.755,4,4,350 m²,47096977,3,20/07/2024
"Lo Barnechea, Mall Vivo Los Trapenses",$ 1.650.000,1,1,50 m²,12293057,1,13/03/2024
"Lo Barnechea, Mall Vivo Los Trapenses",$ 1.680.000,1,1,45 m²,12293036,0,08/03/2023
