titulo,precio,dormitorios,baños,m2,codigo,estacionamientos,fecha
Av. Vicuña Mackenna 1207,$ 300.000,1,1,46 m²,74178321,0,03/04/2026
José Domingo Cañas,$ 495.000,1,1,39 m²,89803699,0,02/04/2026
Avenida Grecia 1355,$ 700.000,3,2,120 m²,111212760,0,01/04/2026
Lincoyán,$ 520.000,1,1,47 m²,114254710,0,01/04/2026
Matta Oriente / Metro Irarrazaval,$ 480.000,2,2,60 m²,112513364,0,31/03/2026
Avenida Vicuña Mackenna 660,$ 480.000,1,1,39 m²,110155647,1,29/03/2026
Avenida Irarrázaval 1745,$ 470.000,1,1,40 m²,108499720,1,23/03/2026
Avenida Rodrigo de Araya 3001,$ 500.000,2,2,55 m²,112662409,1,20/03/2026
Avenida Vicuña Mackenna 1290,$ 530.000,1,1,N/A,112621954,1,15/03/2026
Avenida Vicuña Mackenna 1290,$ 420.000,1,1,N/A,112618578,0,15/03/2026
Oportunidad Sector Echeñique Ortuzar,$ 895.000,3,2,100 m²,5795400,1,10/03/2026
Avenida Vicuña Mackenna 1796,$ 650.000,2,2,55 m²,97947245,1,22/02/2026
Departamento estilo mariposa en ñuñoa (156255),$ 550.000,2,2,5.557 m²,114603620,1,05/04/2026
ñuñoa,$ 370.000,1,1,37 m²,114590753,0,05/04/2026
Bodega - Metro Irarrazaval Ñuñoa (156197),$ 550.000,2,2,55 m²,114525470,0,04/04/2026
Irarrazaval/ Montenegro,$ 530.000,1,1,40 m²,114509580,1,04/04/2026
Irarrázaval/José Miguel Claro,$ 597.626,2,2,66 m²,114509332,0,04/04/2026
Vicuña Mackenna,$ 620.000,2,2,N/A,112687741,1,03/04/2026
Avenida Manuel Antonio Matta,$ 500.000,2,1,47 m²,114461460,1,03/04/2026
San Eugenio,$ 430.291,1,1,35 m²,114460551,1,03/04/2026
Calle Seis 1/2,$ 500.000,2,1,100 m²,114459908,2,03/04/2026
Avda Ossa/ Simon Bolivar,$ 900.000,2,2,80 m²,114453268,1,03/04/2026
Metro irarazaval,$ 557.784,1,1,39 m²,114449553,0,03/04/2026
Metro Ñuble,$ 580.000,2,1,62 m²,114449115,0,03/04/2026
Metro Ñuble,$ 580.000,2,2,62 m²,114449086,0,03/04/2026
Metro irarazaval,$ 717.151,2,2,61 m²,114449027,0,03/04/2026
Metro irarazaval,$ 753.009,2,2,61 m²,114448984,0,03/04/2026
Bustamante,$ 490.000,1,1,3.500 m²,114443417,1,03/04/2026
Moderno Metro Ñuble (155842),$ 380.000,1,1,32 m²,114443327,1,03/04/2026
San eugenio 2001,$ 600.000,2,2,77 m²,114442306,1,03/04/2026
José doming0 cañas - juegos infantiles,$ 683.000,2,2,68 m²,114439327,0,03/04/2026
Metro villa frei,$ 550.000,1,1,47 m²,114434346,0,03/04/2026
Pedro de Valdivia,$ 570.000,1,1,37 m²,74777277,0,03/04/2026
Dpto Estudio amoblado (156113),$ 490.000,1,1,30 m²,114426898,0,03/04/2026
Maravilloso y dpto. (156110),$ 520.000,2,2,5.031 m²,114426814,1,03/04/2026
"2 D / 2 B + 1 E y 1 B, Modelo Mariposa (156059)",$ 700.000,2,2,49 m²,114425812,1,03/04/2026
"1 D / 1 B + 1 E / 1 B, Amoblado totalmente (156041)",$ 450.000,1,1,29 m²,114425678,1,03/04/2026
"3 D / 2 B + 2 E / 1 B, totalmente amoblado (156040)",$ 1.350.000,3,2,86 m²,114425651,2,03/04/2026
Sin aval metro ñuble,$ 580.000,2,1,60 m²,114425051,0,03/04/2026
Moderno con ubicación (155841),$ 590.000,1,1,37 m²,114423640,0,03/04/2026
Recién con Excelente Conectividad (155860),$ 750.000,2,2,66 m²,114423343,1,03/04/2026
"Av grecia 3348, edificio 3",$ 600.000,2,2,52 m²,114420426,0,03/04/2026
Amoblado (155836),$ 650.000,1,1,41 m²,114419219,0,03/04/2026
Amoblado (155835),$ 650.000,1,1,41 m²,114419190,0,03/04/2026
Holanda con gerona,$ 1.593.669,3,3,120 m²,114407649,2,03/04/2026
av jose pedro alessandri 927,$ 730.000,2,2,65 m²,114407602,1,03/04/2026
av jose pedro alessandri 927,$ 730.000,2,2,65 m²,114407588,1,03/04/2026
Til til,$ 440.000,2,1,65 m²,41035941,0,02/04/2026
Impeclable 2 dorm 2 baños,$ 720.000,2,2,65 m²,73397429,0,02/04/2026
José Domingo Cañas,$ 739.000,2,2,62 m²,83729367,0,02/04/2026
