Month,Day,Temperature,Hour,Aerosol Optical Depth,Dew Point,DHI,DNI,GHI,Relative Humidity,Solar Zenith Angle,Pressure,Precipitable Water,Wind Direction,valor
1,1,17.2,1,0.078,9.7,0,0,0,61.16,133.5,880,1.5,359,67.21
1,1,16.6,2,0.08,9.7,0,0,0,63.85,134.4,879,1.5,353,85.58
1,1,16.2,3,0.083,9.7,0,0,0,65.59,130.79,879,1.4,356,82.95
1,1,16.0,4,0.083,9.6,0,0,0,65.8,123.52,879,1.4,6,77.55
1,1,15.9,5,0.081,9.4,0,0,0,65.28,113.79,879,1.4,13,74.87
1,1,15.8,6,0.082,9.2,0,0,0,64.84,102.54,879,1.4,19,74.87
1,1,16.7,7,0.083,9.0,0,0,0,60.46,89.88,879,1.3,29,71.16
1,1,19.5,8,0.079,8.7,57,604,188,49.65,77.46,880,1.3,12,39.65
1,1,22.7,9,0.074,7.5,82,830,442,37.62,64.29,880,1.3,299,0.0
1,1,25.2,10,0.071,6.6,97,936,688,30.48,50.84,880,1.3,266,0.0
1,1,27.4,11,0.07,6.0,107,993,898,25.63,37.22,879,1.3,263,0.0
1,1,29.2,12,0.069,5.5,114,1026,1055,22.29,23.48,879,1.3,265,0.0
1,1,30.1,13,0.07,5.4,119,1040,1145,20.98,9.69,879,1.3,265,0.0
1,1,30.3,14,0.072,5.6,121,1041,1159,21.04,4.22,878,1.3,263,0.0
1,1,30.0,15,0.075,5.9,120,1029,1099,21.89,18.0,878,1.3,261,0.0
1,1,29.2,16,0.076,6.2,115,1003,967,23.45,31.77,878,1.3,258,0.0
1,1,28.1,17,0.076,6.5,105,954,774,25.47,45.45,877,1.4,256,0.0
1,1,26.6,18,0.081,6.8,92,867,539,28.36,58.98,877,1.4,254,0.0
1,1,24.7,19,0.08,7.3,70,709,286,32.87,72.28,878,1.4,254,0.0
1,1,22.0,20,0.08,8.2,31,313,57,41.28,85.17,878,1.4,259,0.0
1,1,19.9,21,0.081,9.4,0,0,0,50.68,97.8,879,1.4,263,0.0
1,1,18.6,22,0.084,10.0,0,0,0,57.29,109.5,880,1.4,267,0.0
1,1,18.1,23,0.084,10.2,0,0,0,59.75,119.93,880,1.4,305,43.52
1,1,17.7,24,0.088,10.1,0,0,0,61.17,128.33,880,1.4,6,70.84
1,2,17.3,1,0.091,10.1,0,0,0,62.56,133.55,879,1.4,15,66.96
1,2,16.8,2,0.092,10.1,0,0,0,64.78,134.49,878,1.4,2,66.42
1,2,16.3,3,0.099,10.2,0,0,0,67.35,130.91,878,1.3,349,65.33
1,2,16.0,4,0.104,10.3,0,0,0,68.85,123.65,878,1.3,3,66.79
1,2,15.7,5,0.101,10.1,0,0,0,69.56,113.93,878,1.3,35,71.99
1,2,15.7,6,0.102,9.9,0,0,0,68.39,102.67,878,1.3,46,81.8
1,2,16.5,7,0.101,9.7,0,0,0,64.04,89.99,878,1.3,40,80.5
1,2,19.0,8,0.098,9.6,61,566,183,54.32,77.59,878,1.3,347,43.48
