titulo,precio,habitaciones,m2,altura,zona
"Piso en Calle de Jerónima Llorente, 74, Bellas Vistas, Madrid",1.900€/mes,3,75,Planta 1ª exterior con ascensor,"Bellas Vistas, Madrid"
"Dúplex en Calle del Doctor Santero, Bellas Vistas, Madrid",5.300€/mes,4,192,N/A,"Bellas Vistas, Madrid"
"Piso en Calle de las Margaritas, 15, Berruguete, Madrid",800€/mes,1,27,Bajo exterior sin ascensor,"Berruguete, Madrid"
"Ático en Calle de Almansa, 7, Bellas Vistas, Madrid",1.578€/mes,1,42,Planta 3ª exterior sin ascensor,"Bellas Vistas, Madrid"
"Dúplex en Calle Aranjuez, 5, Bellas Vistas, Madrid",1.150€/mes,1,55,Bajo exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle Pinos Alta, 42, Ventilla-Almenara, Madrid",1.750€/mes,1,65,Planta 1ª exterior con ascensor,"Ventilla-Almenara, Madrid"
"Piso en Calle Roble, 26, Cuzco-Castillejos, Madrid",1.400€/mes,1,60,Planta 2ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Almansa, 7, Bellas Vistas, Madrid",1.376€/mes,2,42,Bajo interior sin ascensor,"Bellas Vistas, Madrid"
"Ático en Calle de Lorenza Correa, 7, Bellas Vistas, Madrid",1.100€/mes,1,50,Planta 3ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle Pinos Alta, Ventilla-Almenara, Madrid",1.750€/mes,1,50,Planta 1ª exterior con ascensor,"Ventilla-Almenara, Madrid"
"Piso en Calle de Joaquín Arjona, Bellas Vistas, Madrid",1.950€/mes,4,75,N/A,"Bellas Vistas, Madrid"
"Piso en Calle Topete, Bellas Vistas, Madrid",990€/mes,1,35,Planta 1ª exterior sin ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de Robledo, Valdeacederas, Madrid",2.030€/mes,2,85,N/A,"Valdeacederas, Madrid"
"Ático en Calle de Modesto Lafuente, Nuevos Ministerios-Ríos Rosas, Madrid",3.500€/mes,3,102,Planta 6ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Piso en Calle de Bravo Murillo, 189, Bellas Vistas, Madrid",2.500€/mes,2,114,Planta 6ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Ps Direccion, Valdeacederas, Madrid",1.200€/mes,2,78,Planta 1ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Avenida del Doctor Federico Rubio y Galí, 1, Bellas Vistas, Madrid",1.250€/mes,1,42,N/A,"Bellas Vistas, Madrid"
"Piso en Calle de María de Guzmán, Nuevos Ministerios-Ríos Rosas, Madrid",1.600€/mes,2,50,Bajo interior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Piso en Jose Maria De Castro, Cuatro Caminos, Madrid",1.150€/mes,1,47,Planta 1ª exterior sin ascensor,"Cuatro Caminos, Madrid"
"Estudio en Calle de Don Quijote, s/n, Cuatro Caminos, Madrid",1.200€/mes,N/A,45,Planta 1ª exterior sin ascensor,"s/n, Cuatro Caminos, Madrid"
"Estudio en Artistas, 8, Cuatro Caminos, Madrid",795€/mes,N/A,29,Planta 3ª interior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Plaza de la Condesa de Gavia, Cuatro Caminos, Madrid",2.530€/mes,2,95,Planta 4ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Bravo Murillo, 193, Berruguete, Madrid",1.350€/mes,1,80,Planta 4ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de María de Guzmán, Nuevos Ministerios-Ríos Rosas, Madrid",1.900€/mes,1,63,Planta 4ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Ático en Calle de Dulcinea, 40, Cuatro Caminos, Madrid",1.500€/mes,1,60,Planta 3ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle Sófora, Cuzco-Castillejos, Madrid",1.900€/mes,3,132,Planta 3ª exterior sin ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Sor Ángela de la Cruz, Cuzco-Castillejos, Madrid",1.700€/mes,2,77,Planta 1ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de la Infanta Mercedes, Cuzco-Castillejos, Madrid",1.800€/mes,1,65,Planta 2ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle Fulgencio de Miguel, 4, Berruguete, Madrid",1.100€/mes,1,72,Planta 1ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de los Artistas, Cuatro Caminos, Madrid",2.735€/mes,2,81,Planta 4ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle Fulgencio de Miguel, 4, Berruguete, Madrid",1.100€/mes,1,72,Planta 1ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de Treviño, Nuevos Ministerios-Ríos Rosas, Madrid",2.430€/mes,2,47,Planta 3ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Estudio en Cuzco-Castillejos, Madrid",995€/mes,N/A,41,N/A,Madrid
"Piso en Calle de Edgar Neville, Cuatro Caminos, Madrid",2.405€/mes,2,110,Planta 3ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle Bravo Murillo, 316, Cuzco-Castillejos, Madrid",1.050€/mes,1,54,Planta 2ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Estudio en Calle de la Infanta Mercedes, 111, Cuzco-Castillejos, Madrid",1.100€/mes,N/A,35,Planta 4ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Ático en Calle de Alonso Cano, Nuevos Ministerios-Ríos Rosas, Madrid",4.500€/mes,3,143,Planta 8ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Piso en Calle de las Gardenias, Valdeacederas, Madrid",940€/mes,1,35,N/A,"Valdeacederas, Madrid"
"Dúplex en Calle Esperanza Sánchez Carrascosa, Valdeacederas, Madrid",1.900€/mes,2,120,Planta 3ª exterior con ascensor,"Valdeacederas, Madrid"
"Piso en Calle de José María de Castro, 9, Cuatro Caminos, Madrid",1.100€/mes,1,45,Planta 1ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Berruguete, Berruguete, Madrid",1.700€/mes,2,50,Planta 1ª interior sin ascensor,"Berruguete, Madrid"
"Piso en Calle de Bellver, 3, Berruguete, Madrid",1.000€/mes,1,72,Planta 1ª exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle de José Calvo, 1, Berruguete, Madrid",1.845€/mes,2,64,Planta 5ª exterior con ascensor,"Berruguete, Madrid"
"Ático en Calle Algodonales, 68, Berruguete, Madrid",1.100€/mes,1,50,Planta 3ª exterior sin ascensor,"Berruguete, Madrid"
"Piso en Berruguete, Madrid",1.200€/mes,1,35,N/A,Madrid
"Piso en Nuevos Ministerios-Ríos Rosas, Madrid",4.100€/mes,3,178,N/A,Madrid
